episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
1549.0,1549.0,1549.0,10000.0,1,1,152000,False,15,38,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-15-26,1618139726,28.20640993118286,1087.940878868103,703,285e2a0aa751,172.28.0.2,1087.940878868103,0,38,9a92d_00000,[1549.0],[10000],11529.418,346.939,16915.582,236.468,3.647,152000,152000,60.67750000000001,27.205000000000002,0.0,0.45000000000000007,5e-05,8.41468197107315,-0.04270467913011089,8.452275395393372,0.39140707,0.011358004063367844,0.3522497843950987,0.0
1549.0,1549.0,1549.0,10000.0,0,1,156000,False,15,39,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-15-58,1618139758,32.87914681434631,1120.8200256824493,703,285e2a0aa751,172.28.0.2,1120.8200256824493,0,39,9a92d_00000,[1549.0],[10000],11986.304,333.714,16964.619,235.785,3.591,156000,156000,60.663829787234036,27.200000000000006,0.0,0.45000000000000007,5e-05,9.527055814862251,-0.04743991425493732,9.56756041944027,0.3144982,0.015411243337439373,0.2771798335015774,0.0
1749.0,1749.0,1749.0,10000.0,1,1,160000,False,16,40,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-16-30,1618139790,31.338390350341797,1152.1584160327911,703,285e2a0aa751,172.28.0.2,1152.1584160327911,0,40,9a92d_00000,[1749.0],[10000],12157.863,329.005,16993.365,235.386,3.606,160000,160000,60.264444444444436,27.200000000000006,0.0,0.45000000000000007,5e-05,5.604355908930302,-0.03354663265054114,5.632949523627758,0.2867924,0.011006723972968757,0.28346346551552415,0.0
1749.0,1749.0,1749.0,10000.0,0,1,164000,False,16,41,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-17-02,1618139822,32.54330325126648,1184.7017192840576,703,285e2a0aa751,172.28.0.2,1184.7017192840576,0,41,9a92d_00000,[1749.0],[10000],12626.557,316.793,16955.356,235.914,3.723,164000,164000,61.01956521739132,27.20217391304348,0.0,0.45000000000000007,5e-05,9.345052555203438,-0.051662820449564606,9.391381368041039,0.29321766,0.011853184099891223,0.28404247341677547,0.0
1749.0,1749.0,1749.0,10000.0,0,1,168000,False,16,42,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-17-32,1618139852,29.417304754257202,1214.1190240383148,703,285e2a0aa751,172.28.0.2,1214.1190240383148,0,42,9a92d_00000,[1749.0],[10000],12847.306,311.349,16966.538,235.758,3.847,168000,168000,60.36428571428572,27.211904761904766,0.0,0.45000000000000007,5e-05,8.886849209666252,-0.03234746883390471,8.913639932870865,0.30232626,0.012347957585006952,0.30746887950226665,0.0
1633.0,1633.0,1633.0,10000.0,1,1,172000,False,17,43,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-18-04,1618139884,32.08160853385925,1246.200632572174,703,285e2a0aa751,172.28.0.2,1246.200632572174,0,43,9a92d_00000,[1633.0],[10000],13233.309,302.268,16973.659,235.659,3.626,172000,172000,60.69347826086957,27.243478260869562,0.0,0.45000000000000007,5e-05,8.482590332627296,-0.03460349384113215,8.512945830821991,0.52637357,0.009440299079869874,0.29297330928966403,0.0
1633.0,1633.0,1633.0,10000.0,0,1,176000,False,17,44,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-18-33,1618139913,29.367435216903687,1275.5680677890778,703,285e2a0aa751,172.28.0.2,1275.5680677890778,0,44,9a92d_00000,[1633.0],[10000],13438.334,297.656,16903.938,236.631,3.581,176000,176000,61.05,27.290476190476188,0.0,0.45000000000000007,5e-05,11.392957150936127,-0.03142690594540909,11.42099341750145,0.5080001,0.0075343886273913085,0.2908044848591089,0.0
1744.0,1744.0,1744.0,10000.0,1,1,180000,False,18,45,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-19-04,1618139944,30.24972414970398,1305.8177919387817,703,285e2a0aa751,172.28.0.2,1305.8177919387817,0,45,9a92d_00000,[1744.0],[10000],13522.197,295.81,16939.008,236.141,3.577,180000,180000,60.58604651162791,27.2953488372093,0.0,0.45000000000000007,5e-05,10.762004345655441,-0.043206018628552556,10.800822630524635,0.5513605,0.009750518671353348,0.2930946066044271,0.0
1744.0,1744.0,1744.0,10000.0,0,1,184000,False,18,46,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-19-35,1618139975,31.099826335906982,1336.9176182746887,703,285e2a0aa751,172.28.0.2,1336.9176182746887,0,46,9a92d_00000,[1744.0],[10000],13780.377,290.268,16876.963,237.009,4.187,184000,184000,60.07333333333333,27.23777777777777,0.0,0.45000000000000007,5e-05,8.722964495420456,-0.048101249121828005,8.765954196453094,0.21311645,0.011359073308994994,0.25179655384272337,0.0
1744.0,1744.0,1744.0,10000.0,0,1,188000,False,18,47,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-20-02,1618140002,27.376587390899658,1364.2942056655884,703,285e2a0aa751,172.28.0.2,1364.2942056655884,0,47,9a92d_00000,[1744.0],[10000],13589.574,294.343,16853.51,237.339,4.199,188000,188000,60.54615384615385,27.299999999999994,0.0,0.45000000000000007,5e-05,8.39940656721592,-0.041710071614943445,8.437030553817749,0.3969971,0.009080067291506566,0.2561477543786168,0.0
1855.0,1855.0,1855.0,10000.0,1,1,192000,False,19,48,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-20-32,1618140032,29.77317452430725,1394.0673801898956,703,285e2a0aa751,172.28.0.2,1394.0673801898956,0,48,9a92d_00000,[1855.0],[10000],13731.933,291.292,16867.901,237.137,4.184,192000,192000,61.26190476190476,27.299999999999997,0.0,0.45000000000000007,5e-05,7.704852283000946,-0.03583457111380994,7.7370811849832535,0.38871828,0.008012294580112211,0.250823131762445,0.0
